time/fps,reward/info_exist_reward,reward/grasp_reward,train/std,reward/static_reward,time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,reward/goal_reward,time/time_elapsed,reward/approach_reward,train/actor_target_loss,train/ent_coef_loss,train/critic_aux_loss,train/actor_aux_loss,train/actor_loss,train/target_weight,train/ent_coef,train/aux_weight,train/learning_rate,train/critic_loss,train/n_updates,train/critic_target_loss
44,2.04,0.0,0.026702990755438805,0.0,40800,0.0,100.0,404,256.64255,0.0,919,2.323470445140501,0.03264801608747803,-18.517360985279083,0.24237136030569673,0.15625217068009079,-24.933595955371857,96.03999999999999,0.04927927575772628,96.03999999999999,0.0003,32.24508836865425,4992,0.07081837992882356
44,,,0.026702990755438805,,40800,0.0,100.0,408,256.64255,,919,,,,,,,,,,,,,
44,2.61,0.0,0.02672891691327095,0.0,41600,0.0,100.0,412,257.21487,0.0,942,2.37456054118725,0.03257692325860262,-18.5804650336504,0.25313029042445123,0.15884144604206085,-25.902238994836807,96.03999999999999,0.047516721999272704,96.03999999999999,0.0003,33.41921725869179,5120,0.0714375126408413
44,,,0.02672891691327095,,41600,0.0,100.0,416,257.21487,,942,,,,,,,,,,,,,
44,2.25,0.0,0.026742974296212196,0.0,42400,0.0,100.0,420,257.44083,0.0,955,2.9492006524217733,0.03040110191795975,-18.556507289409637,0.2580795327667147,0.15733783296309412,-26.835383623838425,96.03999999999999,0.04668207361828536,96.03999999999999,0.0003,33.69040468335152,5184,0.0682778765913099
44,,,0.026742974296212196,,42400,0.0,100.0,424,257.44083,,955,,,,,,,,,,,,,
44,2.25,0.0,0.026770656928420067,0.0,43200,0.0,100.0,428,257.4474,0.0,977,2.8570796692615996,0.028510926116723567,-17.850708782672882,0.24288083286955953,0.15630908450111747,-28.042790859937668,96.03999999999999,0.045084805286023766,96.03999999999999,0.0003,31.70642352104187,5312,0.06472730229143053
44,,,0.026770656928420067,,43200,0.0,100.0,432,257.4474,,977,,,,,,,,,,,,,
44,1.86,0.0,0.02678605355322361,0.0,44000,0.0,100.0,436,258.0214,0.0,990,2.5929581999387517,0.0286480660433881,-18.377650052309036,0.2399099722970277,0.15893158945254982,-28.170576453208923,96.03999999999999,0.04432563460431993,96.03999999999999,0.0003,31.71392685174942,5376,0.06604202336166054
44,,,0.02678605355322361,,44000,0.0,100.0,440,258.0214,,990,,,,,,,,,,,,,
44,2.16,0.0,0.026814505457878113,0.0,44800,0.0,100.0,444,255.41531,0.0,1013,2.717020468483345,0.02830388769507408,-19.314275309443474,0.2374761754181236,0.15246514976024628,-30.047859400510788,96.03999999999999,0.04277349711628631,96.03999999999999,0.0003,31.342849284410477,5504,0.06490911188302562
44,,,0.026814505457878113,,44800,0.0,100.0,448,255.41531,,1013,,,,,,,,,,,,,
44,2.49,0.0,0.026841172948479652,0.0,45600,0.0,100.0,452,255.9507,0.0,1036,2.666702179157939,0.027722993167117238,-20.207493498921394,0.2324062534607947,0.15485720662400126,-30.91260489821434,96.03999999999999,0.041262944287154824,96.03999999999999,0.0003,30.59829318523407,5632,0.061964589986018836
44,,,0.026841172948479652,,45600,0.0,100.0,456,255.9507,,1036,,,,,,,,,,,,,
44,2.22,0.0,0.02685505338013172,0.0,46400,0.0,100.0,460,258.08945,0.0,1049,2.9745282997526434,0.02729113944224082,-18.76325197517872,0.23633970879018307,0.15331700397655368,-31.716967523097992,96.03999999999999,0.04050462768645957,96.03999999999999,0.0003,30.853969424962997,5696,0.06156456161988899
44,,,0.02685505338013172,,46400,0.0,100.0,464,258.08945,,1049,,,,,,,,,,,,,
44,3.0,0.0,0.02688436582684517,0.0,47200,0.0,100.0,468,261.9266,0.0,1071,2.8652081710114845,0.023691356094786897,-18.987036034464836,0.22816350823268294,0.1529906562063843,-33.142258793115616,96.03999999999999,0.03909331816248596,96.03999999999999,0.0003,29.740190863609314,5824,0.058117964887060225
44,,,0.02688436582684517,,47200,0.0,100.0,472,261.9266,,1071,,,,,,,,,,,,,
44,3.0,0.0,0.02689853496849537,0.0,48000,0.0,100.0,476,263.6595,0.0,1084,2.5352064471313747,0.024775230034720153,-19.874920681118965,0.23173100035637617,0.14986991439945996,-34.04496639966965,96.03999999999999,0.038400664285290986,96.03999999999999,0.0003,30.231927126646042,5888,0.05755747063085437
44,,,0.02689853496849537,,48000,0.0,100.0,480,263.6595,,1084,,,,,,,,,,,,,
44,2.67,0.0,0.026924818754196167,0.0,48800,0.0,100.0,484,265.15262,0.0,1107,2.95142169238859,0.023618225968675688,-19.695131853222847,0.22387916897423565,0.14866155060008168,-35.312037855386734,96.03999999999999,0.03698737337253988,96.03999999999999,0.0003,29.013465464115143,6016,0.05638109246501699
44,,,0.026924818754196167,,48800,0.0,100.0,488,265.15262,,1107,,,,,,,,,,,,,
44,2.7,0.0,0.026938294991850853,0.0,49600,0.0,100.0,492,267.8582,0.0,1120,3.046870776464636,0.021080245729535818,-19.47874979674816,0.22146727982908487,0.14439560449682176,-36.422164261341095,96.03999999999999,0.03633057343540713,96.03999999999999,0.0003,28.414421558380127,6080,0.05153255892219022
44,,,0.026938294991850853,,49600,0.0,100.0,496,267.8582,,1120,,,,,,,,,,,,,
44,2.04,0.0,0.026966514065861702,0.0,50400,0.0,100.0,500,268.3213,0.0,1142,2.8672464905930126,0.021220775175606832,-20.842460840940475,0.2196340668015182,0.14343200833536685,-37.70660322904587,96.03999999999999,0.0350693654618226,96.03999999999999,0.0003,28.750554531812668,6208,0.05560792452888563
44,,,0.026966514065861702,,50400,0.0,100.0,504,268.3213,,1142,,,,,,,,,,,,,
44,3.0,0.0,0.02698151208460331,0.0,51200,0.0,100.0,508,269.05453,0.0,1154,2.5458348924488976,0.022274875242146663,-18.91938292980194,0.22073949524201453,0.1452093576081097,-37.73609697818756,96.03999999999999,0.03442050836747512,96.03999999999999,0.0003,28.4609597325325,6272,0.052782943996135145
44,,,0.02698151208460331,,51200,0.0,100.0,512,269.05453,,1154,,,,,,,,,,,,,
44,1.26,0.0,0.027009451761841774,0.0,52000,0.0,100.0,516,267.88922,0.0,1177,2.7151024516915623,0.022237716839299537,-19.3677147179842,0.21775119425728917,0.14603965892456472,-38.944366097450256,96.03999999999999,0.03326226776698604,96.03999999999999,0.0003,28.21515828371048,6400,0.051301386614795774
44,,,0.027009451761841774,,52000,0.0,100.0,520,267.88922,,1177,,,,,,,,,,,,,
