time/episodes,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/std,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef
668,338.0725,0.0,100.0,73,909,66800,0.025752102956175804,-131.98927402496338,6.990654557943344,0.0003,16496,0.9671326763927937,0.021540674031712115
672,338.1169,0.0,100.0,73,916,67200,0.025744421407580376,-132.41967010498047,8.122386991977692,0.0003,16592,-0.0681479163467884,0.021524604759179056
676,339.36798,0.0,100.0,73,923,67600,0.025752399116754532,-132.39124202728271,6.965864032506943,0.0003,16704,0.30704398825764656,0.02155698521528393
680,340.03516,0.0,100.0,73,929,68000,0.02575581520795822,-132.42158317565918,8.025898277759552,0.0003,16800,-0.07106689363718033,0.021515413653105497
684,341.29297,0.0,100.0,73,935,68400,0.025760315358638763,-132.98977661132812,8.403620332479477,0.0003,16896,-1.123655267059803,0.021563819725997746
688,341.88116,0.0,100.0,73,941,68800,0.02576019987463951,-133.83941078186035,7.521311491727829,0.0003,16992,2.46377788297832,0.021724823978729546
692,341.40747,0.0,100.0,73,947,69200,0.02576191909611225,-134.50701332092285,6.123677015304565,0.0003,17104,1.3281471710652113,0.021906046313233674
696,341.31073,0.0,100.0,73,952,69600,0.025761427357792854,-134.46324253082275,7.507507354021072,0.0003,17200,1.971945783123374,0.02198674692772329
700,343.1277,0.0,100.0,73,958,70000,0.02576574496924877,-135.1187038421631,7.149938881397247,0.0003,17296,0.2598275262862444,0.02211760589852929
704,342.8418,0.0,100.0,73,963,70400,0.02576756291091442,-135.6188154220581,8.492778301239014,0.0003,17392,1.2848700489848852,0.022183456807397306
708,343.4879,0.0,100.0,72,970,70800,0.025769030675292015,-136.12431812286377,8.689624071121216,0.0003,17504,0.2510858289897442,0.02232120162807405
712,345.01804,0.0,100.0,72,976,71200,0.025770744308829308,-136.63923168182373,7.412997335195541,0.0003,17600,-0.8953290265053511,0.022408419521525502
