time/fps,train/std,time/time_elapsed,rollout/success_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/target_weight,train/critic_aux_loss,train/n_updates,train/actor_loss,train/actor_aux_loss,train/aux_weight,train/ent_coef_loss,train/learning_rate,train/critic_target_loss,train/actor_target_loss,train/ent_coef,train/critic_loss
45,0.026871347799897194,947,0.0,43200,428,279.9189,100.0,96.03999999999999,0.22606016998179257,5312,-31.03132724761963,0.17460767040029168,96.03999999999999,-15.479039430618286,0.0003,0.0629074270837009,0.031434521079063416,0.04632330214371905,29.56964021921158
45,0.026871347799897194,947,0.0,43200,432,279.9189,100.0,,,,,,,,,,,,
45,0.02688964456319809,960,0.0,44000,436,280.1447,100.0,96.03999999999999,0.2216809238307178,5376,-28.03050234913826,0.20813998044468462,96.03999999999999,-15.91329799592495,0.0003,0.06202864524675533,0.03606482388568111,0.04556985374074429,29.2336887717247
45,0.02688964456319809,960,0.0,44000,440,280.1447,100.0,,,,,,,,,,,,
45,0.026923397555947304,982,0.0,44800,444,280.55185,100.0,96.03999999999999,0.226318295346573,5504,-21.144176110625267,0.26392872584983706,96.03999999999999,-15.882484197616577,0.0003,0.06263222394045442,0.062314188631717116,0.04403298272518441,29.728181391954422
45,0.026923397555947304,982,0.0,44800,448,280.55185,100.0,,,,,,,,,,,,
45,0.026958534494042397,1004,0.0,45600,452,281.4007,100.0,96.03999999999999,0.23005391168408096,5632,-30.10834690928459,0.20559311797842383,96.03999999999999,-14.165039628744125,0.0003,0.06675245286896825,0.03890544589376077,0.04264852235792205,30.60165274143219
45,0.026958534494042397,1004,0.0,45600,456,281.4007,100.0,,,,,,,,,,,,
45,0.026974709704518318,1016,0.0,46400,460,281.92484,100.0,96.03999999999999,0.22956458199769258,5696,-32.00074118375778,0.1943186440039426,96.03999999999999,-15.812365807592869,0.0003,0.06370815302943811,0.036427464918233454,0.041988317447248846,30.010413378477097
45,0.026974709704518318,1016,0.0,46400,464,281.92484,100.0,,,,,,,,,,,,
45,0.027009474113583565,1039,0.0,47200,468,281.857,100.0,96.03999999999999,0.22803254565224051,5824,-34.219487369060516,0.18416922423057258,96.03999999999999,-15.119886256754398,0.0003,0.061607075738720596,0.03446608345257118,0.040691576548852026,29.788351476192474
45,0.027009474113583565,1039,0.0,47200,472,281.857,100.0,,,,,,,,,,,,
45,0.027027608826756477,1051,0.0,48000,476,283.1883,100.0,96.03999999999999,0.22798933507874608,5888,-35.2863672375679,0.18060069647617638,96.03999999999999,-14.95945829153061,0.0003,0.06269488023826852,0.033478263270808384,0.04004111810354516,29.7590871155262
45,0.027027608826756477,1051,0.0,48000,480,283.1883,100.0,,,,,,,,,,,,
45,0.027063999325037003,1073,0.0,48800,484,282.8267,100.0,96.03999999999999,0.22365985927172005,6016,-36.798737585544586,0.17791488207876682,96.03999999999999,-17.362831354141235,0.0003,0.06391857925336808,0.03177284725825302,0.03874878853093833,29.435570895671844
